scenario,c,noise_level,seed,sensor,delay,fpr,est_error_pct
c=1_noise=0.1_seed=0,1,0.1,0,0,10,0.0,0.676161902326744
c=1_noise=0.1_seed=0,1,0.1,0,1,9,0.0,0.8791717170531399
c=1_noise=0.1_seed=0,1,0.1,0,2,10,0.0,1.42730802204043
c=1_noise=0.1_seed=0,1,0.1,0,3,8,0.0,0.7223095340094909
c=1_noise=0.1_seed=0,1,0.1,0,4,9,0.0,1.5880295691321988
c=1_noise=0.1_seed=1,1,0.1,1,0,9,0.0,0.12817687786619292
c=1_noise=0.1_seed=1,1,0.1,1,1,11,0.0,1.3945677680319513
c=1_noise=0.1_seed=1,1,0.1,1,2,8,0.0,0.5486126102588917
c=1_noise=0.1_seed=1,1,0.1,1,3,9,0.0,1.1815883727562593
c=1_noise=0.1_seed=1,1,0.1,1,4,9,0.0,1.0776007885443972
c=1_noise=0.1_seed=2,1,0.1,2,0,8,0.0,0.5029553109288765
c=1_noise=0.1_seed=2,1,0.1,2,1,10,0.0,0.3293090456319536
c=1_noise=0.1_seed=2,1,0.1,2,2,10,0.0,0.04100949992269509
c=1_noise=0.1_seed=2,1,0.1,2,3,8,0.0,1.8767259590180663
c=1_noise=0.1_seed=2,1,0.1,2,4,10,0.0,1.5625325162010317
c=1_noise=1.0_seed=0,1,1.0,0,0,-4946,0.0126,6.761619023267329
c=1_noise=1.0_seed=0,1,1.0,0,1,-4868,0.0129,8.791717170531332
c=1_noise=1.0_seed=0,1,1.0,0,2,-4988,0.0112,14.273080220404355
c=1_noise=1.0_seed=0,1,1.0,0,3,-4954,0.0098,7.223095340094909
c=1_noise=1.0_seed=0,1,1.0,0,4,-4957,0.0111,15.880295691322033
c=1_noise=1.0_seed=1,1,1.0,1,0,-4988,0.0105,1.2817687786619958
c=1_noise=1.0_seed=1,1,1.0,1,1,-4853,0.0108,13.945677680319369
c=1_noise=1.0_seed=1,1,1.0,1,2,-4844,0.0108,5.486126102588873
c=1_noise=1.0_seed=1,1,1.0,1,3,-4708,0.0105,11.815883727562614
c=1_noise=1.0_seed=1,1,1.0,1,4,-4863,0.011,10.776007885443928
c=1_noise=1.0_seed=2,1,1.0,2,0,-4942,0.0091,5.02955310928872
c=1_noise=1.0_seed=2,1,1.0,2,1,-4895,0.0104,3.2930904563195917
c=1_noise=1.0_seed=2,1,1.0,2,2,-4920,0.0089,0.4100949992268621
c=1_noise=1.0_seed=2,1,1.0,2,3,-4931,0.0109,18.767259590180686
c=1_noise=1.0_seed=2,1,1.0,2,4,-4888,0.0118,15.625325162010228
c=1_noise=3.33_seed=0,1,3.33,0,0,-4995,0.1813,22.51619134748022
c=1_noise=3.33_seed=0,1,3.33,0,1,-4999,0.1743,29.276418177869257
c=1_noise=3.33_seed=0,1,3.33,0,2,-4992,0.1722,47.52935713394655
c=1_noise=3.33_seed=0,1,3.33,0,3,-4992,0.1661,24.052907482516073
c=1_noise=3.33_seed=0,1,3.33,0,4,-4996,0.172,52.88138465210238
c=1_noise=3.33_seed=1,1,3.33,1,0,-4998,0.1626,4.268290032944422
c=1_noise=3.33_seed=1,1,3.33,1,1,-5000,0.1709,46.43910667546353
c=1_noise=3.33_seed=1,1,3.33,1,2,-4989,0.1696,18.268799921621003
c=1_noise=3.33_seed=1,1,3.33,1,3,-4987,0.1672,39.346892812783494
c=1_noise=3.33_seed=1,1,3.33,1,4,-5000,0.1757,35.88410625852827
c=1_noise=3.33_seed=2,1,3.33,2,0,-4997,0.1721,16.74841185393148
c=1_noise=3.33_seed=2,1,3.33,2,1,-4998,0.1696,10.965991219544179
c=1_noise=3.33_seed=2,1,3.33,2,2,-5000,0.1647,1.3656163474254135
c=1_noise=3.33_seed=2,1,3.33,2,3,-4995,0.1701,62.49497443530174
c=1_noise=3.33_seed=2,1,3.33,2,4,-4993,0.1646,52.03233278949404
c=5_noise=0.1_seed=0,5,0.1,0,0,1,0.0,0.13523238046534658
c=5_noise=0.1_seed=0,5,0.1,0,1,1,0.0,0.17583434341062798
c=5_noise=0.1_seed=0,5,0.1,0,2,1,0.0,0.28546160440809487
c=5_noise=0.1_seed=0,5,0.1,0,3,1,0.0,0.14446190680189375
c=5_noise=0.1_seed=0,5,0.1,0,4,1,0.0,0.31760591382642644
c=5_noise=0.1_seed=1,5,0.1,1,0,1,0.0,0.025635375573234143
c=5_noise=0.1_seed=1,5,0.1,1,1,1,0.0,0.27891355360639025
c=5_noise=0.1_seed=1,5,0.1,1,2,1,0.0,0.10972252205178278
c=5_noise=0.1_seed=1,5,0.1,1,3,1,0.0,0.2363176745512341
c=5_noise=0.1_seed=1,5,0.1,1,4,1,0.0,0.21552015770886615
c=5_noise=0.1_seed=2,5,0.1,2,0,1,0.0,0.10059106218577087
c=5_noise=0.1_seed=2,5,0.1,2,1,1,0.0,0.06586180912638184
c=5_noise=0.1_seed=2,5,0.1,2,2,1,0.0,0.008201899984534577
c=5_noise=0.1_seed=2,5,0.1,2,3,1,0.0,0.3753451918036177
c=5_noise=0.1_seed=2,5,0.1,2,4,1,0.0,0.3125065032402041
c=5_noise=1.0_seed=0,5,1.0,0,0,-4946,0.0126,1.3523238046534658
c=5_noise=1.0_seed=0,5,1.0,0,1,-4868,0.0129,1.758343434106262
c=5_noise=1.0_seed=0,5,1.0,0,2,-4988,0.0112,2.8546160440808954
c=5_noise=1.0_seed=0,5,1.0,0,3,-4954,0.0098,1.4446190680189908
c=5_noise=1.0_seed=0,5,1.0,0,4,-4957,0.0111,3.176059138264424
c=5_noise=1.0_seed=1,5,1.0,1,0,-4988,0.0105,0.2563537557323947
c=5_noise=1.0_seed=1,5,1.0,1,1,-4853,0.0108,2.7891355360638848
c=5_noise=1.0_seed=1,5,1.0,1,2,-4844,0.0108,1.0972252205177746
c=5_noise=1.0_seed=1,5,1.0,1,3,-4708,0.0105,2.3631767455125363
c=5_noise=1.0_seed=1,5,1.0,1,4,-4863,0.011,2.1552015770887856
c=5_noise=1.0_seed=2,5,1.0,2,0,-4942,0.0091,1.005910621857744
c=5_noise=1.0_seed=2,5,1.0,2,1,-4895,0.0104,0.6586180912639072
c=5_noise=1.0_seed=2,5,1.0,2,2,-4920,0.0089,0.0820189998453813
c=5_noise=1.0_seed=2,5,1.0,2,3,-4931,0.0109,3.7534519180361237
c=5_noise=1.0_seed=2,5,1.0,2,4,-4888,0.0118,3.1250650324020413
c=5_noise=3.33_seed=0,5,3.33,0,0,-4995,0.1813,4.503238269496048
c=5_noise=3.33_seed=0,5,3.33,0,1,-4999,0.1743,5.855283635573851
c=5_noise=3.33_seed=0,5,3.33,0,2,-4992,0.1722,9.505871426789305
c=5_noise=3.33_seed=0,5,3.33,0,3,-4992,0.1661,4.8105814965032145
c=5_noise=3.33_seed=0,5,3.33,0,4,-4996,0.172,10.57627693042047
c=5_noise=3.33_seed=1,5,3.33,1,0,-4998,0.1626,0.85365800658888
c=5_noise=3.33_seed=1,5,3.33,1,1,-5000,0.1709,9.287821335092712
c=5_noise=3.33_seed=1,5,3.33,1,2,-4989,0.1696,3.653759984324214
c=5_noise=3.33_seed=1,5,3.33,1,3,-4987,0.1672,7.86937856255669
c=5_noise=3.33_seed=1,5,3.33,1,4,-5000,0.1757,7.176821251705653
c=5_noise=3.33_seed=2,5,3.33,2,0,-4997,0.1721,3.3496823707862866
c=5_noise=3.33_seed=2,5,3.33,2,1,-4998,0.1696,2.1931982439088493
c=5_noise=3.33_seed=2,5,3.33,2,2,-5000,0.1647,0.27312326948507604
c=5_noise=3.33_seed=2,5,3.33,2,3,-4995,0.1701,12.49899488706033
c=5_noise=3.33_seed=2,5,3.33,2,4,-4993,0.1646,10.4064665578988
c=10_noise=0.1_seed=0,10,0.1,0,0,0,0.0,0.06761619023269105
c=10_noise=0.1_seed=0,10,0.1,0,1,0,0.0,0.08791717170531399
c=10_noise=0.1_seed=0,10,0.1,0,2,0,0.0,0.14273080220405632
c=10_noise=0.1_seed=0,10,0.1,0,3,0,0.0,0.07223095340094687
c=10_noise=0.1_seed=0,10,0.1,0,4,0,0.0,0.15880295691323099
c=10_noise=0.1_seed=1,10,0.1,1,0,0,0.0,0.012817687786608188
c=10_noise=0.1_seed=1,10,0.1,1,1,0,0.0,0.13945677680318624
c=10_noise=0.1_seed=1,10,0.1,1,2,0,0.0,0.05486126102589139
c=10_noise=0.1_seed=1,10,0.1,1,3,0,0.0,0.11815883727562594
c=10_noise=0.1_seed=1,10,0.1,1,4,0,0.0,0.10776007885443308
c=10_noise=0.1_seed=2,10,0.1,2,0,0,0.0,0.05029553109288543
c=10_noise=0.1_seed=2,10,0.1,2,1,0,0.0,0.032930904563208685
c=10_noise=0.1_seed=2,10,0.1,2,2,0,0.0,0.004100949992267289
c=10_noise=0.1_seed=2,10,0.1,2,3,0,0.0,0.18767259590180885
c=10_noise=0.1_seed=2,10,0.1,2,4,0,0.0,0.15625325162011094
c=10_noise=1.0_seed=0,10,1.0,0,0,-4946,0.0126,0.6761619023267329
c=10_noise=1.0_seed=0,10,1.0,0,1,-4868,0.0129,0.8791717170531399
c=10_noise=1.0_seed=0,10,1.0,0,2,-4988,0.0112,1.427308022040421
c=10_noise=1.0_seed=0,10,1.0,0,3,-4954,0.0098,0.7223095340094865
c=10_noise=1.0_seed=0,10,1.0,0,4,-4957,0.0111,1.5880295691322033
c=10_noise=1.0_seed=1,10,1.0,1,0,-4988,0.0105,0.12817687786620624
c=10_noise=1.0_seed=1,10,1.0,1,1,-4853,0.0108,1.3945677680319335
c=10_noise=1.0_seed=1,10,1.0,1,2,-4844,0.0108,0.5486126102588784
c=10_noise=1.0_seed=1,10,1.0,1,3,-4708,0.0105,1.181588372756277
c=10_noise=1.0_seed=1,10,1.0,1,4,-4863,0.011,1.077600788544384
c=10_noise=1.0_seed=2,10,1.0,2,0,-4942,0.0091,0.502955310928872
c=10_noise=1.0_seed=2,10,1.0,2,1,-4895,0.0104,0.32930904563194474
c=10_noise=1.0_seed=2,10,1.0,2,2,-4920,0.0089,0.04100949992269065
c=10_noise=1.0_seed=2,10,1.0,2,3,-4931,0.0109,1.8767259590180707
c=10_noise=1.0_seed=2,10,1.0,2,4,-4888,0.0118,1.5625325162010206
c=10_noise=3.33_seed=0,10,3.33,0,0,-4995,0.1813,2.251619134748033
c=10_noise=3.33_seed=0,10,3.33,0,1,-4999,0.1743,2.9276418177869346
c=10_noise=3.33_seed=0,10,3.33,0,2,-4992,0.1722,4.75293571339467
c=10_noise=3.33_seed=0,10,3.33,0,3,-4992,0.1661,2.4052907482515984
c=10_noise=3.33_seed=0,10,3.33,0,4,-4996,0.172,5.288138465210235
c=10_noise=3.33_seed=1,10,3.33,1,0,-4998,0.1626,0.42682900329444
c=10_noise=3.33_seed=1,10,3.33,1,1,-5000,0.1709,4.643910667546365
c=10_noise=3.33_seed=1,10,3.33,1,2,-4989,0.1696,1.8268799921620984
c=10_noise=3.33_seed=1,10,3.33,1,3,-4987,0.1672,3.9346892812783625
c=10_noise=3.33_seed=1,10,3.33,1,4,-5000,0.1757,3.5884106258528448
c=10_noise=3.33_seed=2,10,3.33,2,0,-4997,0.1721,1.6748411853931344
c=10_noise=3.33_seed=2,10,3.33,2,1,-4998,0.1696,1.0965991219544158
c=10_noise=3.33_seed=2,10,3.33,2,2,-5000,0.1647,0.13656163474253802
c=10_noise=3.33_seed=2,10,3.33,2,3,-4995,0.1701,6.2494974435301565
c=10_noise=3.33_seed=2,10,3.33,2,4,-4993,0.1646,5.203233278949391
c=20_noise=0.1_seed=0,20,0.1,0,0,0,0.0,0.03380809511634553
c=20_noise=0.1_seed=0,20,0.1,0,1,0,0.0,0.04395858585267476
